City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tornio,65.8481,24.1466,1.01,86,98,5.2,FI,1670294673
1,butaritari,3.0707,172.7902,27.16,80,86,6.66,KI,1670294673
2,nikolskoye,59.7035,30.7861,-7.06,88,100,3.86,RU,1670294674
3,margate,51.3813,1.3862,8.16,84,97,2.68,GB,1670294674
4,castro,-24.7911,-50.0119,18.43,95,91,1.33,BR,1670294675
5,mataura,-46.1927,168.8643,10.27,37,16,2.75,NZ,1670294675
6,qaanaaq,77.484,-69.3632,-0.82,74,100,5.74,GL,1670294620
7,muros,42.7762,-9.0603,10.61,93,86,1.52,ES,1670294675
8,bluff,-46.6,168.3333,10.45,59,10,5.9,NZ,1670294676
9,san patricio,28.017,-97.5169,22.13,86,53,5.55,US,1670294676
10,buala,-8.145,159.5921,28.86,74,90,2.24,SB,1670294676
11,rikitea,-23.1203,-134.9692,24.02,81,100,6.17,PF,1670294676
12,cape town,-33.9258,18.4232,19.1,72,0,3.6,ZA,1670294524
13,mali,12.079,-12.2982,15.41,86,95,0.07,GN,1670294677
14,tiksi,71.6872,128.8694,-26.35,93,100,4.55,RU,1670294634
15,nikita,44.5333,34.2333,0.56,82,93,3.46,UA,1670294677
16,tasiilaq,65.6145,-37.6368,-2.91,58,8,1.71,GL,1670294634
17,barrow,71.2906,-156.7887,-5.99,79,0,6.69,US,1670294670
18,puerto ayora,-0.7393,-90.3518,20.86,94,24,1.79,EC,1670294678
19,le port,-20.9373,55.2919,26.98,57,100,2.59,RE,1670294678
20,vaini,-21.2,-175.2,28.09,83,75,5.66,TO,1670294504
21,puerto berrio,6.4916,-74.4033,21.78,98,16,0.71,CO,1670294679
22,albany,42.6001,-73.9662,3.66,57,97,2.31,US,1670294638
23,olafsvik,64.8945,-23.7142,4.05,78,45,2.61,IS,1670294531
24,chokurdakh,70.6333,147.9167,-40.72,100,42,1.25,RU,1670294512
25,carnarvon,-24.8667,113.6333,23.52,61,26,7.58,AU,1670294679
26,avarua,-21.2078,-159.775,25.03,83,75,2.06,CK,1670294679
27,salalah,17.0151,54.0924,22.05,60,0,3.09,OM,1670294630
28,new norfolk,-42.7826,147.0587,16.62,44,49,1.79,AU,1670294680
29,alta floresta,-9.8756,-56.0861,20.94,99,99,1.17,BR,1670294680
30,port blair,11.6667,92.75,27.02,83,75,5.14,IN,1670294680
31,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1670294681
32,ushuaia,-54.8,-68.3,5.79,65,40,7.72,AR,1670294443
33,nanortalik,60.1432,-45.2371,2.11,79,100,7.21,GL,1670294681
34,krasnotorka,48.682,37.5327,-6.52,49,11,4.81,UA,1670294681
35,lavrentiya,65.5833,-171.0,-1.51,97,100,14.84,RU,1670294682
36,barcelos,41.5388,-8.6151,12.18,85,76,1.2,PT,1670294682
37,hachinohe,40.5,141.5,5.28,41,95,2.06,JP,1670294682
38,iisaku,59.1014,27.3081,-5.27,94,100,5.07,EE,1670294682
39,durres,41.3231,19.4414,8.1,71,9,2.82,AL,1670294683
40,port hedland,-20.3167,118.5667,39.03,30,45,6.69,AU,1670294683
41,saskylakh,71.9167,114.0833,-23.48,97,100,8.05,RU,1670294625
42,muravlenko,63.7898,74.523,-16.5,97,87,4.81,RU,1670294683
43,palimbang,6.2106,124.1894,30.51,66,99,2.99,PH,1670294684
44,coihaique,-45.5752,-72.0662,9.97,57,0,2.57,CL,1670294554
45,comodoro rivadavia,-45.8667,-67.5,17.92,34,0,12.35,AR,1670294665
46,mount darwin,-16.7725,31.5838,21.67,56,1,1.04,ZW,1670294684
47,moose factory,51.2585,-80.6094,-18.0,78,100,5.14,CA,1670294685
48,port elizabeth,-33.918,25.5701,16.16,86,0,3.09,ZA,1670294685
49,grindavik,63.8424,-22.4338,0.26,93,0,2.06,IS,1670294678
50,lebu,-37.6167,-73.65,14.03,90,8,1.28,CL,1670294536
51,namibe,-15.1961,12.1522,19.92,82,82,2.34,AO,1670294480
52,qaqortoq,60.7167,-46.0333,0.0,73,100,4.96,GL,1670294657
53,mahebourg,-20.4081,57.7,24.03,94,75,1.54,MU,1670294685
54,jamestown,42.097,-79.2353,6.77,38,75,4.12,US,1670294595
55,hobart,-42.8794,147.3294,16.81,57,75,8.23,AU,1670294686
56,saint-philippe,-21.3585,55.7679,24.77,84,97,4.88,RE,1670294686
57,chapais,49.7834,-74.8492,-9.12,97,100,2.83,CA,1670294674
58,havre-saint-pierre,50.2334,-63.5986,1.2,75,0,6.69,CA,1670294686
59,maribo,54.7766,11.5002,3.32,94,100,4.15,DK,1670294687
60,stettler,52.3168,-112.7186,-19.14,100,84,8.23,CA,1670294687
61,hermanus,-34.4187,19.2345,14.66,73,40,2.91,ZA,1670294687
62,constitucion,-35.3333,-72.4167,13.45,75,0,3.78,CL,1670294688
63,bolama,11.5833,-15.4667,23.19,77,12,2.9,GW,1670294688
64,vao,-22.6667,167.4833,25.31,85,87,5.5,NC,1670294676
65,erdenet,49.0333,104.0833,-19.22,72,1,2.29,MN,1670294619
66,vila velha,-20.3297,-40.2925,22.97,91,20,2.57,BR,1670294689
67,port alfred,-33.5906,26.891,13.43,95,100,1.34,ZA,1670294689
68,shache,38.4167,77.2406,-1.83,36,1,0.81,CN,1670294689
69,bredasdorp,-34.5322,20.0403,12.86,77,95,1.4,ZA,1670294690
70,orotukan,62.2667,151.7,-38.68,98,40,2.08,RU,1670294690
71,san vicente,-26.6167,-54.1333,19.79,91,30,1.21,AR,1670294690
72,jackson,42.4165,-122.8345,6.93,81,75,2.57,US,1670294691
73,palmer,42.1584,-72.3287,4.23,85,75,1.54,US,1670294691
74,asosa,10.0667,34.5333,17.17,46,34,2.0,ET,1670294691
75,innisfail,-17.5333,146.0333,29.28,51,0,3.97,AU,1670294660
76,bethel,41.3712,-73.414,3.68,79,0,0.0,US,1670294692
77,vardo,70.3705,31.1107,-2.01,93,40,8.23,NO,1670294692
78,karratha,-20.7377,116.8463,36.19,25,7,6.02,AU,1670294692
79,busselton,-33.65,115.3333,22.3,38,0,4.29,AU,1670294693
80,neyshabur,36.2133,58.7958,-0.71,66,2,0.34,IR,1670294693
81,laguna,38.421,-121.4238,12.99,80,0,3.09,US,1670294693
82,pangkalanbuun,-2.6833,111.6167,29.84,71,100,0.46,ID,1670294694
83,mpanda,-6.3655,31.0409,16.09,96,99,0.77,TZ,1670294694
84,east london,-33.0153,27.9116,14.89,80,67,3.88,ZA,1670294694
85,upernavik,72.7868,-56.1549,-2.1,62,74,4.2,GL,1670294694
86,mar del plata,-38.0023,-57.5575,21.01,78,0,4.63,AR,1670294409
87,atuona,-9.8,-139.0333,25.43,74,43,6.83,PF,1670294462
88,punta arenas,-53.15,-70.9167,5.06,65,40,5.14,CL,1670294695
89,bonavista,48.6499,-53.1147,2.41,89,99,4.39,CA,1670294695
90,kapaa,22.0752,-159.319,26.18,87,75,6.17,US,1670294442
91,powell,40.1578,-83.0752,7.45,55,100,0.89,US,1670294640
92,maymyo,22.0333,96.4667,21.29,61,2,0.79,MM,1670294696
93,ous,60.9058,61.5186,-16.43,98,98,1.86,RU,1670294696
94,cherskiy,68.75,161.3,-22.14,90,100,2.0,RU,1670294696
95,beringovskiy,63.05,179.3167,-3.29,80,53,10.04,RU,1670294696
96,novikovo,51.1537,37.8879,-8.19,57,43,2.41,RU,1670294697
97,longyearbyen,78.2186,15.6401,-13.09,61,40,10.29,SJ,1670294697
98,aguimes,27.9054,-15.4461,16.48,88,20,2.06,ES,1670294697
99,mount gambier,-37.8333,140.7667,19.77,41,100,3.17,AU,1670294698
100,soyo,-6.1349,12.3689,25.93,86,100,3.37,AO,1670294698
101,lagoa,39.05,-27.9833,15.95,77,100,11.15,PT,1670294698
102,ribeira grande,38.5167,-28.7,15.99,88,100,8.94,PT,1670294698
103,belen,36.4891,36.2233,3.08,100,40,1.54,TR,1670294699
104,sajalices,8.6834,-79.8707,25.79,80,99,2.52,PA,1670294699
105,missoula,47.0166,-113.8009,-7.97,87,92,2.78,US,1670294699
106,sao joao da barra,-21.6403,-41.0511,23.4,85,99,9.72,BR,1670294497
107,geraldton,-28.7667,114.6,25.23,53,0,9.26,AU,1670294500
108,fortuna,40.5982,-124.1573,7.51,92,100,2.06,US,1670294700
109,hue,16.4667,107.6,20.06,94,75,4.12,VN,1670294700
110,yuryuzan,54.8633,58.4219,-21.73,97,10,1.55,RU,1670294700
111,kupang,-10.1667,123.5833,31.32,70,20,4.12,ID,1670294701
112,grand gaube,-20.0064,57.6608,24.1,77,68,0.89,MU,1670294701
113,klaksvik,62.2266,-6.589,3.51,61,92,11.21,FO,1670294517
114,kahului,20.8947,-156.47,28.01,70,40,1.54,US,1670294572
115,ponta delgada,37.7333,-25.6667,17.4,72,20,6.17,PT,1670294702
116,georgetown,5.4112,100.3354,29.96,84,20,1.54,MY,1670294702
117,kavieng,-2.5744,150.7967,28.68,69,71,0.97,PG,1670294703
118,praia da vitoria,38.7333,-27.0667,14.86,94,75,9.1,PT,1670294703
119,gunjur,13.2019,-16.7339,23.99,72,6,4.38,GM,1670294704
120,harnoli,32.2792,71.5539,16.23,35,2,1.5,PK,1670294704
121,vanavara,60.34,102.2797,-11.93,92,100,4.81,RU,1670294704
122,huarmey,-10.0681,-78.1522,18.99,86,58,3.25,PE,1670294705
123,tuatapere,-46.1333,167.6833,13.08,53,42,3.29,NZ,1670294705
124,severo-kurilsk,50.6789,156.125,-3.51,76,88,7.04,RU,1670294705
125,bonthe,7.5264,-12.505,25.57,85,45,0.48,SL,1670294706
126,hithadhoo,-0.6,73.0833,27.45,74,100,4.19,MV,1670294706
127,port lincoln,-34.7333,135.8667,18.91,58,96,4.26,AU,1670294707
128,marawi,7.9986,124.2928,27.39,60,97,1.47,PH,1670294707
129,majene,-3.5403,118.9707,29.19,68,100,3.12,ID,1670294707
130,batagay-alyta,67.8006,130.4114,-28.79,98,100,1.16,RU,1670294707
131,miles city,46.4083,-105.8406,-5.46,93,100,4.63,US,1670294708
132,baley,51.6,116.6333,-10.24,76,100,5.73,RU,1670294709
133,miri,4.4148,114.0089,32.31,66,40,1.54,MY,1670294709
134,lekoni,-1.5843,14.2591,22.37,88,100,2.15,GA,1670294709
135,san juan de los morros,9.9115,-67.3538,19.02,78,60,2.15,VE,1670294710
136,sterling,39.0062,-77.4286,5.09,71,0,1.54,US,1670294588
137,korla,41.7597,86.1469,-3.49,39,100,0.75,CN,1670294608
138,alofi,-19.0595,-169.9187,29.94,62,40,2.57,NU,1670294566
139,daru,-9.0763,143.2092,30.22,61,70,5.29,PG,1670294710
140,magaria,12.9983,8.9099,18.78,23,24,4.11,NE,1670294711
141,raudeberg,61.9875,5.1352,2.7,57,99,12.46,NO,1670294711
142,victoria,22.2855,114.1577,16.85,73,100,4.47,HK,1670294538
143,saint anthony,45.0205,-93.218,-4.92,59,20,5.14,US,1670294712
144,tiznit,29.5833,-9.5,13.48,85,100,0.18,MA,1670294712
145,khatanga,71.9667,102.5,-24.0,88,100,5.29,RU,1670294649
146,kiunga,-6.1219,141.2906,29.2,74,100,0.87,PG,1670294713
147,saint-georges,12.0564,-61.7485,23.82,88,20,0.0,GD,1670294713
148,voh,-20.9667,164.7,27.13,84,97,3.19,NC,1670294713
149,atar,20.5169,-13.0499,22.07,24,38,1.69,MR,1670294713
150,kaitangata,-46.2817,169.8464,13.96,49,27,6.25,NZ,1670294476
151,south venice,27.0531,-82.4243,21.66,90,0,0.0,US,1670294714
152,aksu,41.1231,80.2644,-3.13,31,96,1.33,CN,1670294715
153,iqaluit,63.7506,-68.5145,-21.75,98,57,1.72,CA,1670294679
154,college,64.8569,-147.8028,-5.61,91,100,0.0,US,1670294715
155,bilma,18.6853,12.9164,20.64,22,66,3.01,NE,1670294716
156,vokhma,58.9303,46.7586,-13.47,94,100,2.3,RU,1670294716
157,caravelas,-17.7125,-39.2481,21.72,92,90,2.05,BR,1670294716
158,languyan,5.2618,120.0807,29.33,68,91,2.59,PH,1670294717
159,makakilo city,21.3469,-158.0858,26.18,66,100,4.12,US,1670294660
